connection index,file descriptor,ipv4 address,port number,bytes read,start timestamp,end timestamp,elapsed time (s)
0,5,192.168.0.27,54457,4,Sun Feb 12 18:16:08 2023,NULL,0.000000
0,5,192.168.0.27,54457,8,NULL,NULL,0.000004
0,5,192.168.0.27,54457,8,NULL,NULL,0.000001
0,5,192.168.0.27,54457,8,NULL,NULL,0.000001
0,5,192.168.0.27,54457,8,NULL,NULL,0.000000
0,5,192.168.0.27,54457,8,NULL,NULL,0.000001
0,5,192.168.0.27,54457,8,NULL,NULL,0.000002
0,5,192.168.0.27,54457,3,NULL,NULL,0.000001
0,5,192.168.0.27,54457,51,Sun Feb 12 18:16:08 2023,Sun Feb 12 18:16:08 2023,0.000010
1,6,192.168.0.27,54458,4,Sun Feb 12 18:16:08 2023,NULL,0.000000
1,6,192.168.0.27,54458,8,NULL,NULL,0.000002
1,6,192.168.0.27,54458,8,NULL,NULL,0.000000
1,6,192.168.0.27,54458,8,NULL,NULL,0.000002
1,6,192.168.0.27,54458,8,NULL,NULL,0.000001
1,6,192.168.0.27,54458,8,NULL,NULL,0.000000
1,6,192.168.0.27,54458,8,NULL,NULL,0.000001
1,6,192.168.0.27,54458,3,NULL,NULL,0.000001
1,6,192.168.0.27,54458,51,Sun Feb 12 18:16:08 2023,Sun Feb 12 18:16:08 2023,0.000007
2,7,192.168.0.27,54459,4,Sun Feb 12 18:16:08 2023,NULL,0.000000
2,7,192.168.0.27,54459,8,NULL,NULL,0.000001
2,7,192.168.0.27,54459,8,NULL,NULL,0.000000
2,7,192.168.0.27,54459,8,NULL,NULL,0.000001
2,7,192.168.0.27,54459,8,NULL,NULL,0.000001
2,7,192.168.0.27,54459,8,NULL,NULL,0.000001
2,7,192.168.0.27,54459,8,NULL,NULL,0.000001
2,7,192.168.0.27,54459,3,NULL,NULL,0.000001
2,7,192.168.0.27,54459,51,Sun Feb 12 18:16:08 2023,Sun Feb 12 18:16:08 2023,0.000006
3,8,192.168.0.27,54460,4,Sun Feb 12 18:16:08 2023,NULL,0.000000
3,8,192.168.0.27,54460,8,NULL,NULL,0.000002
3,8,192.168.0.27,54460,8,NULL,NULL,0.000000
3,8,192.168.0.27,54460,8,NULL,NULL,0.000002
3,8,192.168.0.27,54460,8,NULL,NULL,0.000001
3,8,192.168.0.27,54460,8,NULL,NULL,0.000001
3,8,192.168.0.27,54460,8,NULL,NULL,0.000001
3,8,192.168.0.27,54460,3,NULL,NULL,0.000000
